# Team 0: Team 0, Team 1: Team 1
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
3,Flop,0,-83,83,CHECK,0,"['2h', '4d']","['5s', '6s']","['4s', '3h', '8s']",8d,,100,100
3,Turn,1,-83,83,CHECK,0,"['2h', '4d']","['5s', '6s']","['4s', '3h', '8s', '9d']",8d,,100,100
3,Turn,0,-83,83,CHECK,0,"['2h', '4d']","['5s', '6s']","['4s', '3h', '8s', '9d']",8d,,100,100
3,River,1,-83,83,CHECK,0,"['2h', '4d']","['5s', '6s']","['4s', '3h', '8s', '9d', '6h']",8d,,100,100
3,River,0,-83,83,CHECK,0,"['2h', '4d']","['5s', '6s']","['4s', '3h', '8s', '9d', '6h']",8d,,100,100
4,Pre-Flop,0,-183,183,RAISE,2,"['8h', '5h']","['Ah', '6h']","['2d', '3h']",,,1,1
4,Pre-Flop,1,-183,183,CALL,0,"['8h', '5h']","['Ah', '6h']","['2d', '3h']",,,2,2
4,Flop,0,-183,183,DISCARD,0,"['8h', '5h']","['Ah', '6h']","['2d', '3h', '5d']",,,4,4
4,Flop,0,-183,183,CHECK,0,"['9d', '5h']","['Ah', '6h']","['2d', '3h', '5d']",8h,,4,4
4,Flop,1,-183,183,CHECK,0,"['9d', '5h']","['Ah', '6h']","['2d', '3h', '5d']",8h,,4,4
4,Turn,0,-183,183,CHECK,0,"['9d', '5h']","['Ah', '6h']","['2d', '3h', '5d', '2h']",8h,,4,4
4,Turn,1,-183,183,CHECK,0,"['9d', '5h']","['Ah', '6h']","['2d', '3h', '5d', '2h']",8h,,4,4
4,River,0,-183,183,RAISE,4,"['9d', '5h']","['Ah', '6h']","['2d', '3h', '5d', '2h', '7d']",8h,,4,4
4,River,1,-183,183,CALL,0,"['9d', '5h']","['Ah', '6h']","['2d', '3h', '5d', '2h', '7d']",8h,,4,4
