# Team 0: PlayerAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
4,Flop,0,196,-196,FOLD,0,"['8s', 'Ah']","['4d', '5s']","['2h', '3h', '4s']",9h,,57,57
5,Pre-Flop,1,139,-139,CALL,0,"['5d', '2h']","['6h', '6d']","['9s', '2s']",,,1,1
5,Pre-Flop,0,139,-139,DISCARD,0,"['5d', '2h']","['6h', '6d']","['9s', '2s']",,,2,2
5,Pre-Flop,0,139,-139,RAISE,4,"['8s', '2h']","['6h', '6d']","['9s', '2s']",5d,,2,2
5,Pre-Flop,1,139,-139,CALL,0,"['8s', '2h']","['6h', '6d']","['9s', '2s']",5d,,2,2
5,Pre-Flop,0,139,-139,RAISE,18,"['8s', '2h']","['6h', '6d']","['9s', '2s']",5d,,6,6
5,Pre-Flop,1,139,-139,CALL,0,"['8s', '2h']","['6h', '6d']","['9s', '2s']",5d,,6,6
5,Pre-Flop,0,139,-139,RAISE,48,"['8s', '2h']","['6h', '6d']","['9s', '2s']",5d,,24,24
5,Pre-Flop,1,139,-139,CALL,0,"['8s', '2h']","['6h', '6d']","['9s', '2s']",5d,,24,24
5,Pre-Flop,0,139,-139,RAISE,28,"['8s', '2h']","['6h', '6d']","['9s', '2s']",5d,,72,72
5,Pre-Flop,1,139,-139,CALL,0,"['8s', '2h']","['6h', '6d']","['9s', '2s']",5d,,72,72
5,Pre-Flop,0,139,-139,CHECK,0,"['8s', '2h']","['6h', '6d']","['9s', '2s']",5d,,100,100
5,Flop,1,139,-139,CHECK,0,"['8s', '2h']","['6h', '6d']","['9s', '2s', '4d']",5d,,100,100
5,Flop,0,139,-139,CHECK,0,"['8s', '2h']","['6h', '6d']","['9s', '2s', '4d']",5d,,100,100
5,Turn,1,139,-139,CHECK,0,"['8s', '2h']","['6h', '6d']","['9s', '2s', '4d', 'Ad']",5d,,100,100
5,Turn,0,139,-139,CHECK,0,"['8s', '2h']","['6h', '6d']","['9s', '2s', '4d', 'Ad']",5d,,100,100
5,River,1,139,-139,CHECK,0,"['8s', '2h']","['6h', '6d']","['9s', '2s', '4d', 'Ad', '9d']",5d,,100,100
5,River,0,139,-139,CHECK,0,"['8s', '2h']","['6h', '6d']","['9s', '2s', '4d', 'Ad', '9d']",5d,,100,100
6,Pre-Flop,0,39,-39,RAISE,3,"['3s', '8s']","['4h', '7d']","['5h', 'Ad']",,,1,1
6,Pre-Flop,1,39,-39,CALL,0,"['3s', '8s']","['4h', '7d']","['5h', 'Ad']",,,2,2
6,Flop,0,39,-39,DISCARD,0,"['3s', '8s']","['4h', '7d']","['5h', 'Ad', '3h']",,,5,5
6,Flop,0,39,-39,CHECK,0,"['Ah', '8s']","['4h', '7d']","['5h', 'Ad', '3h']",3s,,5,5
6,Flop,1,39,-39,RAISE,9,"['Ah', '8s']","['4h', '7d']","['5h', 'Ad', '3h']",3s,,5,5
6,Flop,0,39,-39,FOLD,0,"['Ah', '8s']","['4h', '7d']","['5h', 'Ad', '3h']",3s,,5,5
7,Pre-Flop,1,34,-34,RAISE,9,"['Ad', '5d']","['As', '5s']","['Ah', '7s']",,,1,1
7,Pre-Flop,0,34,-34,DISCARD,0,"['Ad', '5d']","['As', '5s']","['Ah', '7s']",,,2,2
7,Pre-Flop,0,34,-34,RAISE,11,"['Ad', '8h']","['As', '5s']","['Ah', '7s']",5d,,2,2
